SQL_ID,PLAN_HASH_VALUE,SCHEMA_NAME,EXECUTIONS,ELAPSED_TIME_SEC,CPU_TIME_SEC,BUFFER_GETS,DISK_READS,ROWS_PROCESSED,FETCHES,AVG_ELAPSED_SEC,SQL_TEXT
3un99a0zwp4vd,1475428744,SYS,222,4.16,0.99,3027,69,1090,1312,0.0188,"select owner#,name,namespace,remoteowner,linkname,p_timestamp,p_obj#, nvl(property,0),subname,type#,flags,d_attrs from dependency$ d, obj$ o where d_obj#=:1 and p_obj#=obj#(+) order by order#"
8swypbbr0m372,570326988,SYS,222,3.78,0.23,2537,49,1046,1268,0.017,"select order#,columns,types from access$ where d_obj#=:1"
8swypbbr0m372,570326988,SYS,289,3.59,0.39,4187,89,1779,2068,0.0124,"select order#,columns,types from access$ where d_obj#=:1"
121ffmrc95v7g,2542797530,SYS,255,3.56,0.63,1671,36,277,532,0.014,"select i.obj#,i.ts#,i.file#,i.block#,i.intcols,i.type#,i.flags,i.property,i.pctfree$,i.initrans,i.maxtrans,i.blevel,i.leafcnt,i.distkey,i.lblkkey,i.dblkkey,i.clufac,i.cols,i.analyzetime,i.samplesize,i"
4034bt1vcd4xr,0,SYSTEM,2,3.51,3.16,21000,554,2,0,1.7571,BEGIN     EXECUTE IMMEDIATE 'DROP USER testuser CASCADE'; EXCEPTION     WHEN OTHERS THEN NULL; END;
a3jpjzh7mtwwp,2317816222,SYS,40,3.31,0.34,865,165,199,206,0.0827,"select /*+ index(idl_ub2$ i_idl_ub21) */ piece#,length,piece from idl_ub2$ where obj#=:1 and part=:2 and version=:3 order by piece#"
5pazx6dft6hru,3949148835,SYS,342,3.18,0.2,2443,39,434,776,0.0093,"select o.owner#, o.name, o.namespace, o.obj#, d.d_timestamp,         nvl(d.property,0), o.type#, o.subname, o.status, d.d_attrs  from dependency$ d, obj$ o   where d.p_obj#=:1  and   (d.p_timestamp=nv"
ga4mbqqxya48k,2035254952,SYS,3048,3.1,0.98,15678,84,3048,3048,0.001,"select t.ts#,t.file#,t.block#,nvl(t.bobj#,0),nvl(t.tab#,0),t.intcols,nvl(t.clucols,0),t.flags,t.pctfree$,t.pctused$,t.initrans,t.maxtrans,t.rowcnt,t.blkcnt,t.empcnt,t.avgspc,t.chncnt,t.avgrln,t.analyz"
acmvv4fhdc9zh,813480514,SYS,858,3.09,1.07,3486,107,807,858,0.0036,"select obj#,type#,ctime,mtime,stime, status, dataobj#, flags, oid$, spare1, spare2, spare3, signature, spare7, spare8, spare9, nvl(dflcollid, 16382), creappid, creverid, modappid, modverid, crepatchid"
acmvv4fhdc9zh,813480514,SYS,802,2.88,0.91,3190,49,784,802,0.0036,"select obj#,type#,ctime,mtime,stime, status, dataobj#, flags, oid$, spare1, spare2, spare3, signature, spare7, spare8, spare9, nvl(dflcollid, 16382), creappid, creverid, modappid, modverid, crepatchid"
4y1y43113gv8f,1844266620,SYS,599,2.86,2.7,32624,5,9849,0,0.0048,delete from histgrm$ where obj#=:1 and intcol#=:2 and row#=:3
01uy9sb7w8a9g,0,SYS,1,2.77,1.29,1416,44,1,0,2.7741," begin      dbms_aqadm_sys.remove_all_nondurablesub(:1, :2);   end;"
2sawmaavc15ah,2656941262,SYS,2,2.6,2.59,27391,0,19,0,1.299,"MERGE /*+ dynamic_sampling(4) dynamic_sampling_est_cdn  */ INTO SYS.MON_MODS_ALL$ MM USING ( SELECT OBJ#, SUM(FLGS) FLGS FROM ( SELECT OBJ#, :B2 FLGS FROM ( SELECT TAB.OBJ# FROM (SELECT T.OBJ# OBJ#, T"
9tfwp43fbwd5f,973414019,SYS,1,2.52,2.51,5087,5,7,1,2.5201,"SELECT * FROM (SELECT /*+ ordered full(t) use_hash(t)                OPT_PARAM('_parallel_syspls_obey_force' 'false') */ 'TABLE' OBJTYPE, U.NAME OWNNAME, O.NAME OBJNAME, NULL PARTNAME, NULL SUBPARTNAM"
a3qq272c786ff,3154421282,SYS,48,2.47,0.36,549,8,48,48,0.0515," select st.dbid, st.atskid, nvl(ctl.instance_number, 0),         st.interval, st.max_run_time, st.enable,         nvl(ctl.mrct_task_time, 0),         nvl(ctl.suspendable_time, 0),         nvl(ctl.stat"
34rznuxy8h2a4,0,SYS,659,2.45,2.28,56077,18,10732,0,0.0037,"insert into histgrm$(obj#,intcol#,row#,bucket,endpoint,col#,epvalue_raw,ep_repeat_count,endpoint_enc) values(:1,:2,:3,:4,:5,:6,:7,:8,:9)"
9tt2m0mpc2qqp,1319326155,SYS,40,2.41,0.13,369,38,59,99,0.0602,"select /*+ index(idl_char$ i_idl_char1) */ piece#,length,piece from idl_char$ where obj#=:1 and part=:2 and version=:3 order by piece#"
a3jpjzh7mtwwp,2317816222,SYS,10,2.35,0.14,297,107,67,67,0.2345,"select /*+ index(idl_ub2$ i_idl_ub21) */ piece#,length,piece from idl_ub2$ where obj#=:1 and part=:2 and version=:3 order by piece#"
3un99a0zwp4vd,1475428744,SYS,68,2.06,0.18,718,31,199,267,0.0303,"select owner#,name,namespace,remoteowner,linkname,p_timestamp,p_obj#, nvl(property,0),subname,type#,flags,d_attrs from dependency$ d, obj$ o where d_obj#=:1 and p_obj#=obj#(+) order by order#"
ga4mbqqxya48k,2035254952,SYS,262,2.03,0.39,1346,47,262,262,0.0078,"select t.ts#,t.file#,t.block#,nvl(t.bobj#,0),nvl(t.tab#,0),t.intcols,nvl(t.clucols,0),t.flags,t.pctfree$,t.pctused$,t.initrans,t.maxtrans,t.rowcnt,t.blkcnt,t.empcnt,t.avgspc,t.chncnt,t.avgrln,t.analyz"
121ffmrc95v7g,2542797530,SYS,1012,2.0,1.04,7021,43,1953,2965,0.002,"select i.obj#,i.ts#,i.file#,i.block#,i.intcols,i.type#,i.flags,i.property,i.pctfree$,i.initrans,i.maxtrans,i.blevel,i.leafcnt,i.distkey,i.lblkkey,i.dblkkey,i.clufac,i.cols,i.analyzetime,i.samplesize,i"
6h3cwmunz5z8q,2968095032,SYS,1038,1.86,0.34,2082,29,0,1038,0.0018,"select col#, grantee#, privilege#,max(mod(nvl(option$,0),2)), max(bitand(nvl(option$,0), 8) /8), max(bitand(nvl(option$,0), 16) /16), max(bitand(nvl(option$,0),64) /64), max(bitand(nvl(option$,0), 128"
c61ajdcqbqn42,2532715356,SYS,1,1.82,1.76,3426,34,504,505,1.8235,"SELECT  new.sql_seq, old.plan_hash_value, sqlset_row(new.sql_id,new.force_matching_signature,  new.sql_text, new.object_list,  new.bind_data, new.parsing_schema_name,  new.module, new.action, new.elap"
bj1mt6pa09d3p,0,SYS,4,1.82,1.76,2807,12,4,0,0.4538," BEGIN    DBMS_SCHEDULER.SET_JOB_ARGUMENT_VALUE (      job_name   => :job_name,      argument_position   => 2,      argument_value      => :job_magic_num);    DBMS_SCHEDULER.SET_ATTRIBUTE(      name  "
fh5ufah919kun,1697022209,SYS,10,1.81,0.06,127,20,22,32,0.1811,"select /*+ index(idl_sb4$ i_idl_sb41) */ piece#,length,piece from idl_sb4$ where obj#=:1 and part=:2 and version=:3 order by piece#"
fh5ufah919kun,1697022209,SYS,40,1.74,0.12,403,43,77,117,0.0434,"select /*+ index(idl_sb4$ i_idl_sb41) */ piece#,length,piece from idl_sb4$ where obj#=:1 and part=:2 and version=:3 order by piece#"
8594ra3zcssdf,344327406,SYS,9,1.68,1.68,747,0,13,22,0.1871,"SELECT /*+ no_merge(v) no_push_pred(v)                   OPT_PARAM('_parallel_syspls_obey_force' 'false') */ '""'||LOC_IND_OWNER||'""' IND_OWNER, '""'||LOC_IND_NAME||'""' IND_NAME, '""'||LOC_PART_NAME||'""'"
g0t052az3rx44,3765558045,SYS,281,1.68,0.26,1168,17,3889,4170,0.006,"select name,intcol#,segcol#,type#,length,nvl(precision#,0),decode(type#,2,nvl(scale,-127/*MAXSB1MINAL*/),178,scale,179,scale,180,scale,181,scale,182,scale,183,scale,231,scale,0),null$,fixedstorage,nvl"
bw0b5zv1wxryq,2272550588,SYS,4,1.64,0.04,41,4,4,4,0.4112,"SELECT UPPER(NAME), RULE_TYPE, DESCRIPTION, FLAGS FROM SYS.X$QOSADVRULEDEF WHERE RULE_ID = :B1 "
0yn07bvqs30qj,866645418,SYS,466,1.49,0.08,1440,11,420,466,0.0032,"select pctfree_stg, pctused_stg, size_stg,initial_stg, next_stg, minext_stg, maxext_stg, maxsiz_stg, lobret_stg,mintim_stg, pctinc_stg, initra_stg, maxtra_stg, optimal_stg, maxins_stg,frlins_stg, flag"
03guhbfpak0w7,3246118364,SYS,40,1.49,0.1,330,29,45,79,0.0372,"select /*+ index(idl_ub1$ i_idl_ub11) */ piece#,length,piece from idl_ub1$ where obj#=:1 and part=:2 and version=:3 order by piece#"
6h3cwmunz5z8q,2968095032,SYS,230,1.48,0.09,462,10,0,230,0.0064,"select col#, grantee#, privilege#,max(mod(nvl(option$,0),2)), max(bitand(nvl(option$,0), 8) /8), max(bitand(nvl(option$,0), 16) /16), max(bitand(nvl(option$,0),64) /64), max(bitand(nvl(option$,0), 128"
5auuumydvc0ym,0,SYS,204,1.46,0.61,6945,0,1776,0,0.0072,"INSERT INTO WRI$_SQLSET_PLAN_LINES VALUES (:B1 ,:B2 ,:B3 ,:B4 ,:B5 ,:B6 ,:B7 ,:B8 ,:B9 ,:B10 ,:B11 ,:B12 ,:B13 ,:B14 ,:B15 ,:B16 ,:B17 ,:B18 ,:B19 ,:B20 ,:B21 ,:B22 ,:B23 ,:B24 ,:B25 ,:B26 ,:B27 ,:B28"
dycmpuj6apqjs,2026059959,SYS,142,1.45,0.09,1230,9,279,284,0.0102,"select pc.intcol#, pc.col# , pc.type#, pc.spare1, pc.segcol#, pc.charsetform,   nvl(c.collintcol#, 0), nvl(c2.type#, 0), nvl(c2.charsetid, 0),    nvl(c2.charsetform , 0), nvl(c2.collid, 0) from partco"
87gaftwrm2h68,1072382624,SYS,911,1.41,0.38,2392,1,410,911,0.0015,"select o.owner#,o.name,o.namespace,o.remoteowner,o.linkname,o.subname from obj$ o where o.obj#=:1"
c61ajdcqbqn42,2532715356,SYS,1,1.38,1.38,1438,0,183,184,1.3826,"SELECT  new.sql_seq, old.plan_hash_value, sqlset_row(new.sql_id,new.force_matching_signature,  new.sql_text, new.object_list,  new.bind_data, new.parsing_schema_name,  new.module, new.action, new.elap"
9tt2m0mpc2qqp,1319326155,SYS,10,1.38,0.27,133,33,21,31,0.1382,"select /*+ index(idl_char$ i_idl_char1) */ piece#,length,piece from idl_char$ where obj#=:1 and part=:2 and version=:3 order by piece#"
g0t052az3rx44,3765558045,SYS,1026,1.3,0.6,4179,22,15703,16729,0.0013,"select name,intcol#,segcol#,type#,length,nvl(precision#,0),decode(type#,2,nvl(scale,-127/*MAXSB1MINAL*/),178,scale,179,scale,180,scale,181,scale,182,scale,183,scale,231,scale,0),null$,fixedstorage,nvl"
8swypbbr0m372,570326988,SYS,68,1.27,0.12,410,26,137,205,0.0187,"select order#,columns,types from access$ where d_obj#=:1"
fn0stp00nzmj6,2380431242,SYS,1,1.27,1.22,1907,32,504,505,1.2669," SELECT /*+ first_rows(1) */ sql_id, force_matching_signature, sql_text, cast(NULL as SQL_OBJECTS) object_list, bind_data, parsing_schema_name, module, action, elapsed_time, cpu_time, buffer_gets, dis"
