TIMESTAMP,USERNAME,ACTION,OBJECT_NAME,RETURNCODE,CLIENT_ID,OS_USERNAME,TERMINAL,LABEL,ANOMALY_TYPE
2026-01-08 15:29:25,REPORT_USER,INSERT,DEPARTMENTS,0,192.168.1.11,employee57,SERVER2,normal,
2026-01-05 01:27:25,SCOTT,SELECT,CUSTOMERS WHERE email=''; DROP TABLE USERS--,0,192.168.1.107,attacker,UNKNOWN,suspicious,sql_injection
2026-01-08 01:02:25,HR_USER,UPDATE,DBA_TAB_PRIVS,0,192.168.1.175,user15,REMOTE,suspicious,off_hours_access
2026-01-06 16:55:25,HR_USER,INSERT,ORDERS,0,192.168.1.50,employee26,LAPTOP5,normal,
2026-01-06 11:16:25,REPORT_USER,SELECT,DEPARTMENTS,0,192.168.1.39,employee90,LAPTOP5,normal,
2026-01-04 22:46:25,HR_USER,SELECT,PRODUCTS WHERE id=1' OR 'a'='a,0,192.168.1.225,malicious,UNKNOWN,suspicious,sql_injection
2026-01-06 09:45:26,ROOT,LOGON,DATABASE,1017,192.168.1.233,attacker,UNKNOWN,suspicious,brute_force
2026-01-03 17:12:25,REPORT_USER,INSERT,DEPARTMENTS,0,192.168.1.43,employee82,SERVER2,normal,
2026-01-09 13:42:25,REPORT_USER,SELECT,DEPARTMENTS,0,192.168.1.22,employee17,WORKSTATION1,normal,
2026-01-07 11:07:25,SCOTT,SELECT,EMPLOYEES,0,192.168.1.25,employee40,WORKSTATION1,normal,
